"<Run Result>";"design variable 1 (Model.STK.Mono_BLOS_03.POLHEO1.Propagator.ApogeeAltitude)";"design variable 2 (Model.STK.Mono_BLOS_03.POLHEO1.Propagator.PerigeeAltitude)";"response (Model.STK.Mono_BLOS_03.POL_Cov_Def.CovTime_Perc_FoM.Overall_Value.Minimum)"
"<RUN SUCCEEDED>";"19000";"650";"50,0879887478914"
"<RUN SUCCEEDED>";"19000";"660";"50,0099925281653"
"<RUN SUCCEEDED>";"19000";"670";"49,9428388734825"
"<RUN SUCCEEDED>";"19000";"680";"49,9424158796617"
"<RUN SUCCEEDED>";"19000";"690";"49,9832673822892"
"<RUN SUCCEEDED>";"19000";"700";"49,964906132778"
"<RUN SUCCEEDED>";"19000";"710";"49,9719699851812"
"<RUN SUCCEEDED>";"19000";"720";"50,018373413284"
"<RUN SUCCEEDED>";"19000";"730";"50,0340679976022"
"<RUN SUCCEEDED>";"19000";"740";"50,0493488050576"
"<RUN SUCCEEDED>";"19000";"750";"50,0756044104927"
"<RUN SUCCEEDED>";"19100";"650";"50,4296977160211"
"<RUN SUCCEEDED>";"19100";"660";"50,4471017620305"
"<RUN SUCCEEDED>";"19100";"670";"50,4380854479145"
"<RUN SUCCEEDED>";"19100";"680";"50,3394693762459"
"<RUN SUCCEEDED>";"19100";"690";"50,2718909437093"
"<RUN SUCCEEDED>";"19100";"700";"50,2481296297912"
"<RUN SUCCEEDED>";"19100";"710";"50,1839955697935"
"<RUN SUCCEEDED>";"19100";"720";"50,1056014097188"
"<RUN SUCCEEDED>";"19100";"730";"50,0620149190817"
"<RUN SUCCEEDED>";"19100";"740";"49,9731320530251"
"<RUN SUCCEEDED>";"19100";"750";"49,9332665737704"
"<RUN SUCCEEDED>";"19200";"650";"50,257458688356"
"<RUN SUCCEEDED>";"19200";"660";"50,3248654965235"
"<RUN SUCCEEDED>";"19200";"670";"50,3432181869012"
"<RUN SUCCEEDED>";"19200";"680";"50,3499423100574"
"<RUN SUCCEEDED>";"19200";"690";"50,3944605430034"
"<RUN SUCCEEDED>";"19200";"700";"50,3936560957276"
"<RUN SUCCEEDED>";"19200";"710";"50,3353861530305"
"<RUN SUCCEEDED>";"19200";"720";"50,4544329067004"
"<RUN SUCCEEDED>";"19200";"730";"50,5243389977632"
"<RUN SUCCEEDED>";"19200";"740";"50,4821891404725"
"<RUN SUCCEEDED>";"19200";"750";"50,4660017459897"
"<RUN SUCCEEDED>";"19300";"650";"50,8022583912648"
"<RUN SUCCEEDED>";"19300";"660";"50,7519544192825"
"<RUN SUCCEEDED>";"19300";"670";"50,6327211922536"
"<RUN SUCCEEDED>";"19300";"680";"50,5679254630963"
"<RUN SUCCEEDED>";"19300";"690";"50,464438178325"
"<RUN SUCCEEDED>";"19300";"700";"50,4864791140448"
"<RUN SUCCEEDED>";"19300";"710";"50,3809829987013"
"<RUN SUCCEEDED>";"19300";"720";"50,2635623301933"
"<RUN SUCCEEDED>";"19300";"730";"50,3275809426088"
"<RUN SUCCEEDED>";"19300";"740";"50,3393656692351"
"<RUN SUCCEEDED>";"19300";"750";"50,3697841619982"
"<RUN SUCCEEDED>";"19400";"650";"50,7033906183727"
