"<Run Result>";"design variable 1 (Model.STK.Mono_BLOS_03.POLHEO1.Propagator.ApogeeAltitude)";"design variable 2 (Model.STK.Mono_BLOS_03.POLHEO1.Propagator.PerigeeAltitude)";"response (Model.STK.Mono_BLOS_03.POL_Cov_Def.CovTime_Perc_FoM.Overall_Value.Minimum)"
"<RUN SUCCEEDED>";"10000";"400";"34,0335501552561"
"<RUN SUCCEEDED>";"10000";"500";"33,9213193238033"
"<RUN SUCCEEDED>";"10000";"600";"33,8253306055612"
"<RUN SUCCEEDED>";"10000";"700";"33,6567190638506"
"<RUN SUCCEEDED>";"10000";"800";"33,4532708461872"
"<RUN SUCCEEDED>";"10000";"900";"33,3456028200894"
"<RUN SUCCEEDED>";"10000";"1000";"33,1348289301348"
"<RUN SUCCEEDED>";"11000";"400";"36,2084719773184"
"<RUN SUCCEEDED>";"11000";"500";"36,0164178071245"
"<RUN SUCCEEDED>";"11000";"600";"35,961585201658"
"<RUN SUCCEEDED>";"11000";"700";"35,8516356563002"
"<RUN SUCCEEDED>";"11000";"800";"35,6642561780924"
"<RUN SUCCEEDED>";"11000";"900";"35,4083812404313"
"<RUN SUCCEEDED>";"11000";"1000";"35,2499483232042"
"<RUN SUCCEEDED>";"12000";"400";"38,3626591209447"
"<RUN SUCCEEDED>";"12000";"500";"38,2704641437574"
"<RUN SUCCEEDED>";"12000";"600";"38,0856054358367"
"<RUN SUCCEEDED>";"12000";"700";"37,8030290769779"
"<RUN SUCCEEDED>";"12000";"800";"37,716309170955"
"<RUN SUCCEEDED>";"12000";"900";"37,5649718349119"
"<RUN SUCCEEDED>";"12000";"1000";"37,3815754163327"
"<RUN SUCCEEDED>";"13000";"400";"40,3035714546335"
"<RUN SUCCEEDED>";"13000";"500";"40,1095010502069"
"<RUN SUCCEEDED>";"13000";"600";"39,8876342124243"
"<RUN SUCCEEDED>";"13000";"700";"39,6738309910983"
"<RUN SUCCEEDED>";"13000";"800";"39,6243945043991"
"<RUN SUCCEEDED>";"13000";"900";"39,4518705940578"
"<RUN SUCCEEDED>";"13000";"1000";"39,2684350858247"
"<RUN SUCCEEDED>";"14000";"400";"42,1612586776668"
"<RUN SUCCEEDED>";"14000";"500";"41,9622034823568"
"<RUN SUCCEEDED>";"14000";"600";"41,7646510658456"
"<RUN SUCCEEDED>";"14000";"700";"41,6062449016474"
"<RUN SUCCEEDED>";"14000";"800";"41,4201064474655"
"<RUN SUCCEEDED>";"14000";"900";"41,2932732964228"
"<RUN SUCCEEDED>";"14000";"1000";"41,1752998069735"
"<RUN SUCCEEDED>";"15000";"400";"43,8909767330958"
"<RUN SUCCEEDED>";"15000";"500";"43,7138115106453"
"<RUN SUCCEEDED>";"15000";"600";"43,6076216378079"
"<RUN SUCCEEDED>";"15000";"700";"43,5380010747484"
"<RUN SUCCEEDED>";"15000";"800";"43,3132837726738"
"<RUN SUCCEEDED>";"15000";"900";"42,9577990863171"
"<RUN SUCCEEDED>";"15000";"1000";"42,7626695466782"
"<RUN SUCCEEDED>";"16000";"400";"45,660789140958"
"<RUN SUCCEEDED>";"16000";"500";"45,4493750901251"
"<RUN SUCCEEDED>";"16000";"600";"45,3575496392242"
"<RUN SUCCEEDED>";"16000";"700";"45,2099207221293"
"<RUN SUCCEEDED>";"16000";"800";"44,9518641696294"
"<RUN SUCCEEDED>";"16000";"900";"44,7679708464536"
"<RUN SUCCEEDED>";"16000";"1000";"44,7113198994339"
"<RUN SUCCEEDED>";"17000";"400";"47,6308101332703"
"<RUN SUCCEEDED>";"17000";"500";"47,0761415588872"
"<RUN SUCCEEDED>";"17000";"600";"46,984391292394"
"<RUN SUCCEEDED>";"17000";"700";"46,6576451767956"
"<RUN SUCCEEDED>";"17000";"800";"46,5934772679074"
